Fecha	Comportamiento de la accion	Punto medio HIGH-LOW
26/04/2021	SUBE	3.375
27/04/2021	SUBE	2.2000044999999915
28/04/2021	BAJA	3.1324994999999944
29/04/2021	BAJA	3.5740049999999997
30/04/2021	BAJA	3.9449994999999944
03/05/2021	BAJA	5.079993999999999
04/05/2021	BAJA	3.270004499999999
05/05/2021	BAJA	3.579994499999998
06/05/2021	BAJA	3.3529965000000033
07/05/2021	SUBE	3.0650025000000056
10/05/2021	BAJA	2.824996999999996
11/05/2021	SUBE	4.4199979999999925
12/05/2021	BAJA	3.2350005000000124
13/05/2021	BAJA	3.7099989999999963
14/05/2021	BAJA	5.2000044999999915
17/05/2021	BAJA	3.6325000000000074
18/05/2021	SUBE	3.1340029999999928
19/05/2021	SUBE	4.264999000000003
20/05/2021	BAJA	2.2849959999999925
21/05/2021	BAJA	3.994995000000003
24/05/2021	SUBE	2.199996999999996
25/05/2021	SUBE	3.332504
26/05/2021	BAJA	6.235000499999998
27/05/2021	SUBE	4.389999000000003
28/05/2021	SUBE	2.6649934999999942
01/06/2021	BAJA	3.599998499999998
02/06/2021	BAJA	1.972503500000002
03/06/2021	BAJA	2.239998
04/06/2021	SUBE	2.339996499999998
07/06/2021	SUBE	1.577499000000003
08/06/2021	BAJA	3.2099989999999963
09/06/2021	BAJA	2.3925014999999945
10/06/2021	SUBE	3.2549975000000018
11/06/2021	SUBE	2.415000500000005
14/06/2021	BAJA	1.7099995000000092
15/06/2021	BAJA	2.7999954999999943
16/06/2021	BAJA	2.6599965000000054
17/06/2021	SUBE	4.439994999999996
18/06/2021	BAJA	2.957504499999999
21/06/2021	SUBE	3.555000000000007
22/06/2021	SUBE	2.722000499999993
23/06/2021	SUBE	1.885002
24/06/2021	BAJA	1.4850004999999982
25/06/2021	SUBE	4.544502500000007
28/06/2021	SUBE	1.4750059999999934
29/06/2021	BAJA	1.5400010000000037
30/06/2021	BAJA	3.107505500000002
01/07/2021	BAJA	2.510002499999999
02/07/2021	BAJA	2.5299990000000037
06/07/2021	SUBE	1.7350004999999982
07/07/2021	SUBE	2.4700015000000093
08/07/2021	BAJA	1.660003500000002
09/07/2021	SUBE	3.1000059999999934
12/07/2021	SUBE	2.2099989999999963
13/07/2021	SUBE	1.5449979999999925
14/07/2021	BAJA	3.614998
15/07/2021	BAJA	3.0800019999999932
16/07/2021	BAJA	2.819999999999993
19/07/2021	SUBE	2.589996499999998
20/07/2021	SUBE	5.8300020000000075
21/07/2021	BAJA	2.280006
22/07/2021	SUBE	1.7649995000000018
23/07/2021	SUBE	3.8875045000000057
26/07/2021	BAJA	2.014999500000002
27/07/2021	BAJA	3.042496
28/07/2021	SUBE	2.4900055000000094
29/07/2021	BAJA	2.035003500000002
30/07/2021	SUBE	2.775001500000002
02/08/2021	BAJA	3.827499000000003
03/08/2021	BAJA	4.397498999999996
04/08/2021	SUBE	3.4950024999999982
05/08/2021	SUBE	4.995003000000011
06/08/2021	SUBE	5.769996499999991
09/08/2021	BAJA	4.384994499999991
10/08/2021	BAJA	2.214996499999998
11/08/2021	SUBE	3.6599959999999925
12/08/2021	SUBE	4.674994999999996
13/08/2021	SUBE	8.539992999999981
16/08/2021	SUBE	3.8200075000000027
17/08/2021	SUBE	6.587508999999983
18/08/2021	SUBE	4.021500000000003
19/08/2021	SUBE	2.6699984999999913
20/08/2021	SUBE	4.639999500000016
23/08/2021	SUBE	4.679992499999997
24/08/2021	SUBE	4.039992999999981
25/08/2021	BAJA	3.319000000000017
26/08/2021	SUBE	3.3999939999999924
27/08/2021	SUBE	3.2395019999999874
30/08/2021	SUBE	3.490005499999995
31/08/2021	BAJA	4.2890014999999835
01/09/2021	BAJA	2.8450009999999963
02/09/2021	BAJA	3.8999934999999937
03/09/2021	SUBE	4.729995500000001
07/09/2021	BAJA	2.5850069999999903
08/09/2021	BAJA	2.339996499999984
09/09/2021	BAJA	2.965011500000003
10/09/2021	BAJA	3.199996999999996
13/09/2021	BAJA	6.31500250000002
14/09/2021	SUBE	4.074996999999996
15/09/2021	SUBE	4.925003000000004
16/09/2021	SUBE	2.839995999999985
17/09/2021	BAJA	4.404999000000004
20/09/2021	SUBE	2.979507500000011
21/09/2021	BAJA	5.134994499999976
22/09/2021	BAJA	2.3450009999999963
23/09/2021	SUBE	5.087494000000021
24/09/2021	BAJA	3.4600064999999915
27/09/2021	BAJA	11.384994500000005
28/09/2021	BAJA	5.209991500000001
29/09/2021	BAJA	6.2549894999999935
30/09/2021	BAJA	3.634994500000005
01/10/2021	BAJA	4.314499000000012
04/10/2021	BAJA	5.606002999999987
05/10/2021	SUBE	2.9750060000000076
06/10/2021	SUBE	3.304992999999996
07/10/2021	SUBE	2.5500035000000025
08/10/2021	BAJA	6.485000500000012
11/10/2021	BAJA	3.3074949999999887
12/10/2021	SUBE	5.505004999999983
13/10/2021	SUBE	3.5149994999999876
14/10/2021	SUBE	6.695007500000003
15/10/2021	SUBE	3.894988999999981
18/10/2021	SUBE	4.260009999999994
19/10/2021	SUBE	2.530013999999994
20/10/2021	BAJA	3.824996999999996
21/10/2021	SUBE	2.06500250000002
